"location_name","location","indicator","year_week","value","source"
"Austria","AT","deaths","2020-30",8,"TESSy COVID-19"
"Austria","AT","deaths","2020-31",17,"TESSy COVID-19"
"Austria","AT","deaths","2020-32",12,"TESSy COVID-19"
"Austria","AT","deaths","2020-33",10,"TESSy COVID-19"
"Austria","AT","deaths","2020-34",13,"TESSy COVID-19"
"Austria","AT","deaths","2020-35",6,"TESSy COVID-19"
"Austria","AT","deaths","2020-36",16,"TESSy COVID-19"
"Austria","AT","deaths","2020-37",15,"TESSy COVID-19"
"Austria","AT","deaths","2020-38",24,"TESSy COVID-19"
"Austria","AT","deaths","2020-39",34,"TESSy COVID-19"
"Austria","AT","deaths","2020-40",40,"TESSy COVID-19"
"Austria","AT","deaths","2020-41",71,"TESSy COVID-19"
"Austria","AT","deaths","2020-42",65,"TESSy COVID-19"
"Austria","AT","deaths","2020-43",126,"TESSy COVID-19"
"Austria","AT","deaths","2020-44",261,"TESSy COVID-19"
"Austria","AT","deaths","2020-45",397,"TESSy COVID-19"
"Austria","AT","deaths","2020-46",623,"TESSy COVID-19"
"Austria","AT","deaths","2020-47",766,"TESSy COVID-19"
"Austria","AT","deaths","2020-48",858,"TESSy COVID-19"
"Austria","AT","deaths","2020-49",921,"TESSy COVID-19"
"Austria","AT","deaths","2020-50",849,"TESSy COVID-19"
"Austria","AT","deaths","2020-51",704,"TESSy COVID-19"
"Austria","AT","deaths","2020-52",615,"TESSy COVID-19"
"Austria","AT","deaths","2020-53",517,"TESSy COVID-19"
"Austria","AT","deaths","2021-01",436,"TESSy COVID-19"
"Austria","AT","deaths","2021-02",450,"TESSy COVID-19"
"Austria","AT","deaths","2021-03",400,"TESSy COVID-19"
"Austria","AT","deaths","2021-04",369,"TESSy COVID-19"
"Austria","AT","deaths","2021-05",298,"TESSy COVID-19"
"Austria","AT","deaths","2021-06",253,"TESSy COVID-19"
"Austria","AT","deaths","2021-07",218,"TESSy COVID-19"
"Austria","AT","deaths","2021-08",224,"TESSy COVID-19"
"Austria","AT","deaths","2021-09",190,"TESSy COVID-19"
"Austria","AT","deaths","2021-10",214,"TESSy COVID-19"
"Austria","AT","deaths","2021-11",246,"TESSy COVID-19"
"Austria","AT","deaths","2021-12",216,"TESSy COVID-19"
"Austria","AT","deaths","2021-13",271,"TESSy COVID-19"
"Austria","AT","deaths","2021-14",251,"TESSy COVID-19"
"Austria","AT","deaths","2021-15",245,"TESSy COVID-19"
"Austria","AT","deaths","2021-16",200,"TESSy COVID-19"
"Austria","AT","deaths","2021-17",194,"TESSy COVID-19"
"Austria","AT","deaths","2021-18",157,"TESSy COVID-19"
"Austria","AT","deaths","2021-19",105,"TESSy COVID-19"
"Austria","AT","deaths","2021-20",73,"TESSy COVID-19"
"Austria","AT","deaths","2021-21",72,"TESSy COVID-19"
"Austria","AT","deaths","2021-22",48,"TESSy COVID-19"
"Austria","AT","deaths","2021-23",37,"TESSy COVID-19"
"Austria","AT","deaths","2021-24",33,"TESSy COVID-19"
